code,name,folded,description,description-2,link
32, ,,Space,,https://en.wikipedia.org/wiki/Whitespace_character
33,!,,Exclamation Mark,Exclamation Point,https://en.wikipedia.org/wiki/Exclamation_mark
34,\",,Quotation Mark,Quotes / Double Quote / Inverted Commas,https://en.wikipedia.org/wiki/Quotation_mark
35,#,,Number Sign,Hash / Pound Sign,https://en.wikipedia.org/wiki/Number_sign
36,$,,Dollar Sign,Peso Sign,https://en.wikipedia.org/wiki/Dollar_sign
37,%,,Percent Sign,,https://en.wikipedia.org/wiki/Percent_sign
38,&,,Ampersand,And Sign,https://en.wikipedia.org/wiki/Ampersand
39,',,Apostrophe,Single Quote,https://en.wikipedia.org/wiki/Apostrophe
40,(,,Left Parenthesis,Round Bracket,https://en.wikipedia.org/wiki/Parenthesis
41,),,Right Parenthesis,Round Bracket,https://en.wikipedia.org/wiki/Parenthesis
42,*,,Asterisk,Star,https://en.wikipedia.org/wiki/Asterisk
43,+,,Plus Sign,,https://en.wikipedia.org/wiki/Plus_sign
44,_,,Comma,,https://en.wikipedia.org/wiki/Comma
45,-,,Minus Sign,Dash,https://en.wikipedia.org/wiki/Minus_sign
46,.,,Period,Full Stop / Full Point,https://en.wikipedia.org/wiki/Full_stop
47,/,,Forward Slash,Oblique Stroke / Solidus (Unicode),https://en.wikipedia.org/wiki/Slash_(punctuation)
48,0,,Number 0,Zero,https://en.wikipedia.org/wiki/0
49,1,,Number 1,One,https://en.wikipedia.org/wiki/1
50,2,,Number 2,Two,https://en.wikipedia.org/wiki/2
51,3,,Number 3,Three,https://en.wikipedia.org/wiki/3
52,4,,Number 4,Four,https://en.wikipedia.org/wiki/4
53,5,,Number 5,Five,https://en.wikipedia.org/wiki/5
54,6,,Number 6,Six,https://en.wikipedia.org/wiki/6
55,7,,Number 7,Seven,https://en.wikipedia.org/wiki/7
56,8,,Number 8,Eight,https://en.wikipedia.org/wiki/8
57,9,,Number 9,Nine,https://en.wikipedia.org/wiki/9
58,:,,Colon,,https://en.wikipedia.org/wiki/Colon_(punctuation)
59,;,,Semicolon,Semi-colon,https://en.wikipedia.org/wiki/Semicolon
60,<,,Less-Than Sign,Left Angle Bracket,https://en.wikipedia.org/wiki/Less-than_sign
61,=,,Equals Sign,,https://en.wikipedia.org/wiki/Equals_sign
62,>,,Greater-Than Sign,Right Angle Bracket,https://en.wikipedia.org/wiki/Greater-than_sign
63,?,,Question Mark,,https://en.wikipedia.org/wiki/Question_mark
64,@,,At Sign,At Symbol,https://en.wikipedia.org/wiki/@
65,A,a,Upper Case A,,https://en.wikipedia.org/wiki/A
66,B,b,Upper Case B,,https://en.wikipedia.org/wiki/B
67,C,c,Upper Case C,,https://en.wikipedia.org/wiki/C
68,D,d,Upper Case D,,https://en.wikipedia.org/wiki/D
69,E,e,Upper Case E,,https://en.wikipedia.org/wiki/E
70,F,f,Upper Case F,,https://en.wikipedia.org/wiki/F
71,G,g,Upper Case G,,https://en.wikipedia.org/wiki/G
72,H,h,Upper Case H,,https://en.wikipedia.org/wiki/H
73,I,i,Upper Case I,,https://en.wikipedia.org/wiki/I
74,J,j,Upper Case J,,https://en.wikipedia.org/wiki/J
75,K,k,Upper Case K,,https://en.wikipedia.org/wiki/K
76,L,l,Upper Case L,,https://en.wikipedia.org/wiki/L
77,M,m,Upper Case M,,https://en.wikipedia.org/wiki/M
78,N,n,Upper Case N,,https://en.wikipedia.org/wiki/N
79,O,o,Upper Case O,,https://en.wikipedia.org/wiki/O
80,P,p,Upper Case P,,https://en.wikipedia.org/wiki/P
81,Q,q,Upper Case Q,,https://en.wikipedia.org/wiki/Q
82,R,r,Upper Case R,,https://en.wikipedia.org/wiki/R
83,S,s,Upper Case S,,https://en.wikipedia.org/wiki/S
84,T,t,Upper Case T,,https://en.wikipedia.org/wiki/T
85,U,u,Upper Case U,,https://en.wikipedia.org/wiki/U
86,V,v,Upper Case V,,https://en.wikipedia.org/wiki/V
87,W,w,Upper Case W,,https://en.wikipedia.org/wiki/W
88,X,x,Upper Case X,,https://en.wikipedia.org/wiki/X
89,Y,y,Upper Case Y,,https://en.wikipedia.org/wiki/Y
90,Z,z,Upper Case Z,,https://en.wikipedia.org/wiki/Z
91,[,,Left Square Bracket,,https://en.wikipedia.org/wiki/Square_brackets
92,\\,,Backslash,Reverse Slash,https://en.wikipedia.org/wiki/Backslash
93,],,Right Square Bracket,,https://en.wikipedia.org/wiki/Square_brackets
94,^,,Caret,,https://en.wikipedia.org/wiki/Caret
95,_,,Underscore,Underline / Low Line,https://en.wikipedia.org/wiki/Underscore
96,`,,Grave Accent,,https://en.wikipedia.org/wiki/Grave_accent
97,a,a,Lower Case A,,https://en.wikipedia.org/wiki/A
98,b,b,Lower Case B,,https://en.wikipedia.org/wiki/B
99,c,c,Lower Case C,,https://en.wikipedia.org/wiki/C
100,d,d,Lower Case D,,https://en.wikipedia.org/wiki/D
101,e,e,Lower Case E,,https://en.wikipedia.org/wiki/E
102,f,f,Lower Case F,,https://en.wikipedia.org/wiki/F
103,g,g,Lower Case G,,https://en.wikipedia.org/wiki/G
104,h,h,Lower Case H,,https://en.wikipedia.org/wiki/H
105,i,i,Lower Case I,,https://en.wikipedia.org/wiki/I
106,j,j,Lower Case J,,https://en.wikipedia.org/wiki/J
107,k,k,Lower Case K,,https://en.wikipedia.org/wiki/K
108,l,l,Lower Case L,,https://en.wikipedia.org/wiki/L
109,m,m,Lower Case M,,https://en.wikipedia.org/wiki/M
110,n,n,Lower Case N,,https://en.wikipedia.org/wiki/N
111,o,o,Lower Case O,,https://en.wikipedia.org/wiki/O
112,p,p,Lower Case P,,https://en.wikipedia.org/wiki/P
113,q,q,Lower Case Q,,https://en.wikipedia.org/wiki/Q
114,r,r,Lower Case R,,https://en.wikipedia.org/wiki/R
115,s,s,Lower Case S,,https://en.wikipedia.org/wiki/S
116,t,t,Lower Case T,,https://en.wikipedia.org/wiki/T
117,u,u,Lower Case U,,https://en.wikipedia.org/wiki/U
118,v,v,Lower Case V,,https://en.wikipedia.org/wiki/V
119,w,w,Lower Case W,,https://en.wikipedia.org/wiki/W
120,x,x,Lower Case X,,https://en.wikipedia.org/wiki/X
121,y,y,Lower Case Y,,https://en.wikipedia.org/wiki/Y
122,z,z,Lower Case Z,,https://en.wikipedia.org/wiki/Z
123,{,,Left Bracket,Left Curly Brackets / Braces,https://en.wikipedia.org/wiki/Curly_brackets
124,|,,Vertical Bar,Pipe,https://en.wikipedia.org/wiki/Vertical_bar
125,},,Right Bracket,Right Curly Brackets / Braces,https://en.wikipedia.org/wiki/Curly_brackets
126,~,,Tilde,,https://en.wikipedia.org/wiki/Tilde
128,n/a,,,,
129,n/a,,,,
130,n/a,,,,
131,n/a,,,,
132,n/a,,,,
133,n/a,,,,
134,n/a,,,,
135,n/a,,,,
136,n/a,,,,
137,n/a,,,,
